run_id,candidate_rank,filter_expression,filter_feature_status,removed_trade_count,removed_net_profit_after_cost,projected_trade_count_if_removed,projected_net_if_removed,projected_trade_per_business_day_if_removed,density_floor_status,proxy_scope,effect(효과),claim_boundary(주장 경계)
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,11,entry_month=2025-01|entry_hour=17,entry_known_candidate(진입 시점 사용 가능 후보),20,-20.48,1061,1009.7,3.1861861861,pass(통과),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,12,entry_hour=16|side=long,entry_known_candidate(진입 시점 사용 가능 후보),145,-30.84,936,1020.06,2.8108108108,fail_density_floor(밀도 하한 실패),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,13,entry_month=2025-12,entry_known_candidate(진입 시점 사용 가능 후보),58,-17.93,1023,1007.15,3.072072072,pass(통과),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,14,entry_month=2025-11|entry_hour=17,entry_known_candidate(진입 시점 사용 가능 후보),22,-11.35,1059,1000.57,3.1801801801,pass(통과),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,15,previous_drawdown_bucket=001_prev_0_to_2pct,"account_state_candidate_requires_previous_balance(계좌 상태 후보, 이전 잔고 필요)",483,179.98,598,809.24,1.7957957958,fail_density_floor(밀도 하한 실패),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,16,entry_month=2025-08,entry_known_candidate(진입 시점 사용 가능 후보),47,-13.73,1034,1002.95,3.1051051051,pass(통과),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,17,previous_drawdown_bucket=001_prev_0_to_2pct|side=long,"account_state_candidate_requires_previous_balance(계좌 상태 후보, 이전 잔고 필요)",439,155.85,642,833.37,1.9279279279,fail_density_floor(밀도 하한 실패),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,18,previous_drawdown_bucket=004_prev_10_to_20pct|side=long,"account_state_candidate_requires_previous_balance(계좌 상태 후보, 이전 잔고 필요)",64,39.62,1017,949.6,3.054054054,pass(통과),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,19,previous_drawdown_bucket=002_prev_2_to_5pct,"account_state_candidate_requires_previous_balance(계좌 상태 후보, 이전 잔고 필요)",316,503.32,765,485.9,2.2972972973,fail_density_floor(밀도 하한 실패),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,20,entry_month=2025-04,entry_known_candidate(진입 시점 사용 가능 후보),103,199.07,978,790.15,2.9369369369,fail_density_floor(밀도 하한 실패),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,21,entry_hour=17,entry_known_candidate(진입 시점 사용 가능 후보),276,172.03,805,817.19,2.4174174174,fail_density_floor(밀도 하한 실패),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,22,entry_hour=21,entry_known_candidate(진입 시점 사용 가능 후보),102,313.84,979,675.38,2.9399399399,fail_density_floor(밀도 하한 실패),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,23,previous_drawdown_bucket=004_prev_10_to_20pct,"account_state_candidate_requires_previous_balance(계좌 상태 후보, 이전 잔고 필요)",74,53.57,1007,935.65,3.024024024,pass(통과),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364Z_materialize_density_side_balance_cost_session_stress_without_db_v1,24,entry_hour=21|side=long,entry_known_candidate(진입 시점 사용 가능 후보),95,258.21,986,731.01,2.9609609609,fail_density_floor(밀도 하한 실패),"simple_removal_proxy_no_sequence_replay(단순 제거 프록시, 순서 재생 아님)",hard block(하드 차단)이 거래 밀도 3/day(일 3회)를 깨는지 먼저 본다.,research_development_input_materialization_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
