run_id,pair_id,parameter,left_value,right_value,difference_category,functional_drift_flag,claim_boundary
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca02_vs_ca01,InpRunId,run364CA_execute_bx03_guard_stack_runtime_probe_without_db_v1_run364CA_ca02_december_h22_only_long_block_isolation,run364CA_execute_bx03_guard_stack_runtime_probe_without_db_v1_run364CA_ca01_bx03_semantics_control,run_identity_expected(실행 정체성 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca02_vs_ca01,InpSplitLabel,validation_oos_ca02_december_h22_only_long_block_isolation,validation_oos_ca01_bx03_semantics_control,run_identity_expected(실행 정체성 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca02_vs_ca01,InpSummaryCsvPath,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/telemetry/run364CA_ca02_december_h22_only_long_block_isolation_summary.csv,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/telemetry/run364CA_ca01_bx03_semantics_control_summary.csv,output_path_expected(출력 경로 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca02_vs_ca01,InpTelemetryCsvPath,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/telemetry/run364CA_ca02_december_h22_only_long_block_isolation_telemetry.csv,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/telemetry/run364CA_ca01_bx03_semantics_control_telemetry.csv,output_path_expected(출력 경로 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca03_vs_ca01,InpCalendarBlockEndHour,24,23,functional_parameter(기능 파라미터),True,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca03_vs_ca01,InpMagic,36427003,36427001,run_identity_expected(실행 정체성 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca03_vs_ca01,InpRunId,run364CA_execute_bx03_guard_stack_runtime_probe_without_db_v1_run364CA_ca03_december_h21_h23_long_block_stress,run364CA_execute_bx03_guard_stack_runtime_probe_without_db_v1_run364CA_ca01_bx03_semantics_control,run_identity_expected(실행 정체성 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca03_vs_ca01,InpSplitLabel,validation_oos_ca03_december_h21_h23_long_block_stress,validation_oos_ca01_bx03_semantics_control,run_identity_expected(실행 정체성 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca03_vs_ca01,InpSummaryCsvPath,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/telemetry/run364CA_ca03_december_h21_h23_long_block_stress_summary.csv,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/telemetry/run364CA_ca01_bx03_semantics_control_summary.csv,output_path_expected(출력 경로 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca03_vs_ca01,InpTelemetryCsvPath,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/telemetry/run364CA_ca03_december_h21_h23_long_block_stress_telemetry.csv,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/telemetry/run364CA_ca01_bx03_semantics_control_telemetry.csv,output_path_expected(출력 경로 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca06_vs_ca01,InpMagic,36427004,36427001,run_identity_expected(실행 정체성 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca06_vs_ca01,InpRunId,run364CA_execute_bx03_guard_stack_runtime_probe_without_db_v1_run364CA_ca06_native_short_same_calendar_control,run364CA_execute_bx03_guard_stack_runtime_probe_without_db_v1_run364CA_ca01_bx03_semantics_control,run_identity_expected(실행 정체성 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca06_vs_ca01,InpSplitLabel,validation_oos_ca06_native_short_same_calendar_control,validation_oos_ca01_bx03_semantics_control,run_identity_expected(실행 정체성 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca06_vs_ca01,InpSummaryCsvPath,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/telemetry/run364CA_ca06_native_short_same_calendar_control_summary.csv,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/telemetry/run364CA_ca01_bx03_semantics_control_summary.csv,output_path_expected(출력 경로 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca06_vs_ca01,InpSyntheticShortSourceEnabled,false,true,functional_parameter(기능 파라미터),True,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca06_vs_ca01,InpSyntheticShortSourceHours,,17,functional_parameter(기능 파라미터),True,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
run364CB_review_bx03_guard_stack_runtime_probe_without_db_v1,ca06_vs_ca01,InpTelemetryCsvPath,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/telemetry/run364CA_ca06_native_short_same_calendar_control_telemetry.csv,Project_Obsidian_Prime_v2/stage364/run364CA_bx03_guard_stack_runtime_probe/telemetry/run364CA_ca01_bx03_semantics_control_telemetry.csv,output_path_expected(출력 경로 차이),False,research_development_runtime_probe_review_only_no_new_model_training_no_new_mt5_execution_no_forward_pass_no_live_readiness_no_operating_promotion_no_runtime_authority_no_goal_claim
