preflight_id,branch_id,runtime_subject,required_identity,required_check,acceptance_evidence,future_output_path_requirement,expected_future_output,source_schema_sha256,preflight_status,external_verification_status,mt5_execution_status,runtime_claim_boundary,runtime_authority_use,claim_boundary
defense_direction_symmetry_negative_control__feature_order_identity,defense_direction_symmetry_negative_control,Python parser to ONNX to MT5 input vector,58 feature order hash and closed-bar timing,"feature count, order hash, finite input audit, all-or-skip reason codes",row-level snapshot and hash in future runtime probe,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/defense_direction_symmetry_negative_control__feature_order_identity__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__model_bundle_identity,defense_direction_symmetry_negative_control,ONNX bundle and adapter package,model hash;adapter hash;threshold/risk/lot config hash,Python ONNX inference equals MT5 ONNX output within tolerance,future parity CSV with probability and decision columns,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/defense_direction_symmetry_negative_control__model_bundle_identity__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__mt5_report_telemetry_identity,defense_direction_symmetry_negative_control,Strategy Tester report and terminal file output,report path;telemetry path;tester period;spread;commission;deposit;symbol;timeframe,"parseable trade list, equity curve, skips/rejects, and settings",MT5 report and telemetry manifest in future run,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/defense_direction_symmetry_negative_control__mt5_report_telemetry_identity__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__row_level_runtime_parity,defense_direction_symmetry_negative_control,research signal versus MT5 decision,timestamp;decision;probability;direction;skip reason,"decision mismatch count, max probability diff, terminal flat gap",row-level parity report before runtime claim,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/defense_direction_symmetry_negative_control__row_level_runtime_parity__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
defense_direction_symmetry_negative_control__external_verification_status,defense_direction_symmetry_negative_control,future branch claims requiring MT5,completed;blocked;out_of_scope_by_claim;not_applicable,attempt command or exact blocker recorded,run_manifest external_verification_status field,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/defense_direction_symmetry_negative_control__external_verification_status__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__feature_order_identity,offense_m48_plain_density_quality_seed,Python parser to ONNX to MT5 input vector,58 feature order hash and closed-bar timing,"feature count, order hash, finite input audit, all-or-skip reason codes",row-level snapshot and hash in future runtime probe,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/offense_m48_plain_density_quality_seed__feature_order_identity__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__model_bundle_identity,offense_m48_plain_density_quality_seed,ONNX bundle and adapter package,model hash;adapter hash;threshold/risk/lot config hash,Python ONNX inference equals MT5 ONNX output within tolerance,future parity CSV with probability and decision columns,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/offense_m48_plain_density_quality_seed__model_bundle_identity__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__mt5_report_telemetry_identity,offense_m48_plain_density_quality_seed,Strategy Tester report and terminal file output,report path;telemetry path;tester period;spread;commission;deposit;symbol;timeframe,"parseable trade list, equity curve, skips/rejects, and settings",MT5 report and telemetry manifest in future run,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/offense_m48_plain_density_quality_seed__mt5_report_telemetry_identity__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__row_level_runtime_parity,offense_m48_plain_density_quality_seed,research signal versus MT5 decision,timestamp;decision;probability;direction;skip reason,"decision mismatch count, max probability diff, terminal flat gap",row-level parity report before runtime claim,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/offense_m48_plain_density_quality_seed__row_level_runtime_parity__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_m48_plain_density_quality_seed__external_verification_status,offense_m48_plain_density_quality_seed,future branch claims requiring MT5,completed;blocked;out_of_scope_by_claim;not_applicable,attempt command or exact blocker recorded,run_manifest external_verification_status field,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/offense_m48_plain_density_quality_seed__external_verification_status__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__feature_order_identity,offense_cost_buffer_feature_interaction_seed,Python parser to ONNX to MT5 input vector,58 feature order hash and closed-bar timing,"feature count, order hash, finite input audit, all-or-skip reason codes",row-level snapshot and hash in future runtime probe,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/offense_cost_buffer_feature_interaction_seed__feature_order_identity__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__model_bundle_identity,offense_cost_buffer_feature_interaction_seed,ONNX bundle and adapter package,model hash;adapter hash;threshold/risk/lot config hash,Python ONNX inference equals MT5 ONNX output within tolerance,future parity CSV with probability and decision columns,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/offense_cost_buffer_feature_interaction_seed__model_bundle_identity__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__mt5_report_telemetry_identity,offense_cost_buffer_feature_interaction_seed,Strategy Tester report and terminal file output,report path;telemetry path;tester period;spread;commission;deposit;symbol;timeframe,"parseable trade list, equity curve, skips/rejects, and settings",MT5 report and telemetry manifest in future run,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/offense_cost_buffer_feature_interaction_seed__mt5_report_telemetry_identity__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__row_level_runtime_parity,offense_cost_buffer_feature_interaction_seed,research signal versus MT5 decision,timestamp;decision;probability;direction;skip reason,"decision mismatch count, max probability diff, terminal flat gap",row-level parity report before runtime claim,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/offense_cost_buffer_feature_interaction_seed__row_level_runtime_parity__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
offense_cost_buffer_feature_interaction_seed__external_verification_status,offense_cost_buffer_feature_interaction_seed,future branch claims requiring MT5,completed;blocked;out_of_scope_by_claim;not_applicable,attempt command or exact blocker recorded,run_manifest external_verification_status field,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/offense_cost_buffer_feature_interaction_seed__external_verification_status__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__feature_order_identity,runtime_parity_probe_bridge_contract,Python parser to ONNX to MT5 input vector,58 feature order hash and closed-bar timing,"feature count, order hash, finite input audit, all-or-skip reason codes",row-level snapshot and hash in future runtime probe,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_parity_probe_bridge_contract__feature_order_identity__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__model_bundle_identity,runtime_parity_probe_bridge_contract,ONNX bundle and adapter package,model hash;adapter hash;threshold/risk/lot config hash,Python ONNX inference equals MT5 ONNX output within tolerance,future parity CSV with probability and decision columns,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_parity_probe_bridge_contract__model_bundle_identity__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
runtime_parity_probe_bridge_contract__mt5_report_telemetry_identity,runtime_parity_probe_bridge_contract,Strategy Tester report and terminal file output,report path;telemetry path;tester period;spread;commission;deposit;symbol;timeframe,"parseable trade list, equity curve, skips/rejects, and settings",MT5 report and telemetry manifest in future run,MT5_report_path;telemetry_path;row_level_parity_path;tester_settings_path,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336K/runtime_parity_probe_bridge_contract__mt5_report_telemetry_identity__runtime_identity_receipt.csv,64c770b64332723e7520986ea6a89f1f1b25c9870e07b02fbdd0c90bf9de9e1e,materialized_pending_run336K_external_attempt,not_run_in_run336J,not_run_in_run336J,runtime_probe_only_no_runtime_authority,blocked,research_development_only_stage336J_proxy_mt5_probe_input_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
