artifact_binding_id,blueprint_id,branch_id,future_artifact_hint,registry_path,must_exist_before_execution_review,hash_required,registry_required,next_review,can_support_model_training,can_support_forward_decision,can_support_runtime_authority,claim_boundary
run336H_materialize_constraint_bound_runner_scaffolds_v1__offense_m48_plain_density_quality_seed__trade_density_target_runner,offense_m48_plain_density_quality_seed__trade_density_target_runner,offense_m48_plain_density_quality_seed,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__trade_density_target_runner.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__offense_m48_plain_density_quality_seed__m48_clue_promotion_canary_runner,offense_m48_plain_density_quality_seed__m48_clue_promotion_canary_runner,offense_m48_plain_density_quality_seed,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__m48_clue_promotion_canary_runner.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__offense_m48_plain_density_quality_seed__copy_runtime_result_canary_runner,offense_m48_plain_density_quality_seed__copy_runtime_result_canary_runner,offense_m48_plain_density_quality_seed,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_m48_plain_density_quality_seed__copy_runtime_result_canary_runner.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__offense_cost_buffer_feature_interaction_seed__interaction_family_matrix_builder,offense_cost_buffer_feature_interaction_seed__interaction_family_matrix_builder,offense_cost_buffer_feature_interaction_seed,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_cost_buffer_feature_interaction_seed__interaction_family_matrix_builder.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__offense_cost_buffer_feature_interaction_seed__regime_slice_runner,offense_cost_buffer_feature_interaction_seed__regime_slice_runner,offense_cost_buffer_feature_interaction_seed,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_cost_buffer_feature_interaction_seed__regime_slice_runner.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__offense_cost_buffer_feature_interaction_seed__cost_survival_validator,offense_cost_buffer_feature_interaction_seed__cost_survival_validator,offense_cost_buffer_feature_interaction_seed,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_cost_buffer_feature_interaction_seed__cost_survival_validator.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__offense_cost_buffer_feature_interaction_seed__after_result_feature_pick_canary_runner,offense_cost_buffer_feature_interaction_seed__after_result_feature_pick_canary_runner,offense_cost_buffer_feature_interaction_seed,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/offense_cost_buffer_feature_interaction_seed__after_result_feature_pick_canary_runner.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__runtime_parity_probe_bridge_contract__runtime_handoff_manifest_builder,runtime_parity_probe_bridge_contract__runtime_handoff_manifest_builder,runtime_parity_probe_bridge_contract,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/runtime_parity_probe_bridge_contract__runtime_handoff_manifest_builder.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__runtime_parity_probe_bridge_contract__row_level_parity_schema_builder,runtime_parity_probe_bridge_contract__row_level_parity_schema_builder,runtime_parity_probe_bridge_contract,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/runtime_parity_probe_bridge_contract__row_level_parity_schema_builder.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__runtime_parity_probe_bridge_contract__tester_telemetry_manifest_validator,runtime_parity_probe_bridge_contract__tester_telemetry_manifest_validator,runtime_parity_probe_bridge_contract,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/runtime_parity_probe_bridge_contract__tester_telemetry_manifest_validator.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__runtime_parity_probe_bridge_contract__proxy_mt5_diff_table_builder,runtime_parity_probe_bridge_contract__proxy_mt5_diff_table_builder,runtime_parity_probe_bridge_contract,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/runtime_parity_probe_bridge_contract__proxy_mt5_diff_table_builder.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__cross_branch_negative_control_repair__branch_specific_canary_runner_matrix,cross_branch_negative_control_repair__branch_specific_canary_runner_matrix,cross_branch_negative_control_repair,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_negative_control_repair__branch_specific_canary_runner_matrix.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__cross_branch_negative_control_repair__negative_control_binding_audit,cross_branch_negative_control_repair__negative_control_binding_audit,cross_branch_negative_control_repair,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_negative_control_repair__negative_control_binding_audit.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__cross_branch_runtime_usability__proxy_expected_table_schema,cross_branch_runtime_usability__proxy_expected_table_schema,cross_branch_runtime_usability,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_runtime_usability__proxy_expected_table_schema.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__cross_branch_runtime_usability__fresh_mt5_runtime_probe_result_schema,cross_branch_runtime_usability__fresh_mt5_runtime_probe_result_schema,cross_branch_runtime_usability,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_runtime_usability__fresh_mt5_runtime_probe_result_schema.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__cross_branch_runtime_usability__difference_table_schema,cross_branch_runtime_usability__difference_table_schema,cross_branch_runtime_usability,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_runtime_usability__difference_table_schema.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__cross_branch_runtime_usability__usability_decision_template,cross_branch_runtime_usability__usability_decision_template,cross_branch_runtime_usability,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_runtime_usability__usability_decision_template.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__cross_branch_data_integrity__tier_pair_record_runner,cross_branch_data_integrity__tier_pair_record_runner,cross_branch_data_integrity,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_data_integrity__tier_pair_record_runner.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__cross_branch_data_integrity__future_shift_join_canary_runner,cross_branch_data_integrity__future_shift_join_canary_runner,cross_branch_data_integrity,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_data_integrity__future_shift_join_canary_runner.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
run336H_materialize_constraint_bound_runner_scaffolds_v1__cross_branch_data_integrity__threshold_lot_freeze_manifest_builder,cross_branch_data_integrity__threshold_lot_freeze_manifest_builder,cross_branch_data_integrity,stages/336_onnx_research_packet__constraint_bound_repair_defense_offense_rebuild/02_runs/run336H/cross_branch_data_integrity__threshold_lot_freeze_manifest_builder.csv,docs/registers/artifact_registry.csv,true,true,true,run336I_review_constraint_bound_runner_scaffolds_v1,false,false,false,research_development_only_stage336H_runner_scaffold_materialization_no_model_training_no_mt5_execution_no_threshold_retuning_no_lot_optimization_no_forward_pocket_filtering_no_candidate_selection_no_forward_passed_no_forward_failed_no_live_readiness_no_deployment_no_operating_promotion_no_runtime_authority_no_goal_achieve
